X1,Sex,ageband,Wales_Quintile_2019,popn,category,random
22865,Male,0,1,46984,Category_A,1
22866,Male,0,1,46984,Category_B,0
22867,Male,0,1,46984,Category_C,0
22868,Male,0,1,46984,Category_D,0
22869,Male,0,1,46984,Category_E,1
22870,Male,0,1,46984,Category_F,0
22871,Male,0,1,46984,Category_G,1
22872,Male,0,1,46984,Category_H,1
22873,Male,0,1,46984,Category_I,2
22874,Male,0,1,46984,Category_J,0
22875,Male,0,1,46984,Category_K,0
22876,Male,0,1,46984,Category_L,2
22877,Male,0,1,46984,Category_M,40
22878,Male,0,1,46984,Category_N,0
22879,Male,0,1,46984,Category_O,1
22880,Male,0,1,46984,Category_P,4
23105,Male,0,2,46829,Category_A,1
23106,Male,0,2,46829,Category_B,1
23107,Male,0,2,46829,Category_C,0
23108,Male,0,2,46829,Category_D,0
23109,Male,0,2,46829,Category_E,0
23110,Male,0,2,46829,Category_F,0
23111,Male,0,2,46829,Category_G,0
23112,Male,0,2,46829,Category_H,0
23113,Male,0,2,46829,Category_I,2
23114,Male,0,2,46829,Category_J,1
23115,Male,0,2,46829,Category_K,0
23116,Male,0,2,46829,Category_L,0
23117,Male,0,2,46829,Category_M,32
23118,Male,0,2,46829,Category_N,0
23119,Male,0,2,46829,Category_O,4
23120,Male,0,2,46829,Category_P,1
23345,Male,0,3,47825,Category_A,1
23346,Male,0,3,47825,Category_B,1
23347,Male,0,3,47825,Category_C,0
23348,Male,0,3,47825,Category_D,0
23349,Male,0,3,47825,Category_E,0
23350,Male,0,3,47825,Category_F,0
23351,Male,0,3,47825,Category_G,4
23352,Male,0,3,47825,Category_H,0
23353,Male,0,3,47825,Category_I,2
23354,Male,0,3,47825,Category_J,3
23355,Male,0,3,47825,Category_K,0
23356,Male,0,3,47825,Category_L,0
23357,Male,0,3,47825,Category_M,35
23358,Male,0,3,47825,Category_N,0
23359,Male,0,3,47825,Category_O,12
23360,Male,0,3,47825,Category_P,1
23585,Male,0,4,51919,Category_A,1
23586,Male,0,4,51919,Category_B,2
23587,Male,0,4,51919,Category_C,0
23588,Male,0,4,51919,Category_D,0
23589,Male,0,4,51919,Category_E,1
23590,Male,0,4,51919,Category_F,0
23591,Male,0,4,51919,Category_G,2
23592,Male,0,4,51919,Category_H,1
23593,Male,0,4,51919,Category_I,7
23594,Male,0,4,51919,Category_J,0
23595,Male,0,4,51919,Category_K,0
